date,EQcount
1900,13.0
1901,14.0
1902,8.0
1903,10.0
1904,16.0
1905,26.0
1906,32.0
1907,27.0
1908,18.0
1909,32.0
1910,36.0
1911,24.0
1912,22.0
1913,23.0
1914,22.0
1915,18.0
1916,25.0
1917,21.0
1918,21.0
1919,14.0
1920,8.0
1921,11.0
1922,14.0
1923,23.0
1924,18.0
1925,17.0
1926,19.0
1927,20.0
1928,22.0
1929,19.0
1930,13.0
1931,26.0
1932,13.0
1933,14.0
1934,22.0
1935,24.0
1936,21.0
1937,22.0
1938,26.0
1939,21.0
1940,23.0
1941,24.0
1942,27.0
1943,41.0
1944,31.0
1945,27.0
1946,35.0
1947,26.0
1948,28.0
1949,36.0
1950,39.0
1951,21.0
1952,17.0
1953,22.0
1954,17.0
1955,19.0
1956,15.0
1957,34.0
1958,10.0
1959,15.0
1960,22.0
1961,18.0
1962,15.0
1963,20.0
1964,15.0
1965,22.0
1966,19.0
1967,16.0
1968,30.0
1969,27.0
1970,29.0
1971,23.0
1972,20.0
1973,16.0
1974,21.0
1975,21.0
1976,25.0
1977,16.0
1978,18.0
1979,15.0
1980,18.0
1981,14.0
1982,10.0
1983,15.0
1984,8.0
1985,15.0
1986,6.0
1987,11.0
1988,8.0
1989,7.0
1990,18.0
1991,16.0
1992,13.0
1993,12.0
1994,13.0
1995,20.0
1996,15.0
1997,16.0
1998,12.0
1999,18.0
2000,15.0
2001,16.0
2002,13.0
2003,15.0
2004,16.0
2005,11.0
2006,11.0
