date,polio
1970-01,0.0
1970-02,1.0
1970-03,0.0
1970-04,0.0
1970-05,1.0
1970-06,3.0
1970-07,9.0
1970-08,2.0
1970-09,3.0
1970-10,5.0
1970-11,3.0
1970-12,5.0
1971-01,2.0
1971-02,2.0
1971-03,0.0
1971-04,1.0
1971-05,0.0
1971-06,1.0
1971-07,3.0
1971-08,3.0
1971-09,2.0
1971-10,1.0
1971-11,1.0
1971-12,5.0
1972-01,0.0
1972-02,3.0
1972-03,1.0
1972-04,0.0
1972-05,1.0
1972-06,4.0
1972-07,0.0
1972-08,0.0
1972-09,1.0
1972-10,6.0
1972-11,14.0
1972-12,1.0
1973-01,1.0
1973-02,0.0
1973-03,0.0
1973-04,1.0
1973-05,1.0
1973-06,1.0
1973-07,1.0
1973-08,0.0
1973-09,1.0
1973-10,0.0
1973-11,1.0
1973-12,0.0
1974-01,1.0
1974-02,0.0
1974-03,1.0
1974-04,0.0
1974-05,1.0
1974-06,0.0
1974-07,1.0
1974-08,0.0
1974-09,1.0
1974-10,0.0
1974-11,0.0
1974-12,2.0
1975-01,0.0
1975-02,1.0
1975-03,0.0
1975-04,1.0
1975-05,0.0
1975-06,0.0
1975-07,1.0
1975-08,2.0
1975-09,0.0
1975-10,0.0
1975-11,1.0
1975-12,2.0
1976-01,0.0
1976-02,3.0
1976-03,1.0
1976-04,1.0
1976-05,0.0
1976-06,2.0
1976-07,0.0
1976-08,4.0
1976-09,0.0
1976-10,2.0
1976-11,1.0
1976-12,1.0
1977-01,1.0
1977-02,1.0
1977-03,0.0
1977-04,1.0
1977-05,1.0
1977-06,0.0
1977-07,2.0
1977-08,1.0
1977-09,3.0
1977-10,1.0
1977-11,2.0
1977-12,4.0
1978-01,0.0
1978-02,0.0
1978-03,0.0
1978-04,1.0
1978-05,0.0
1978-06,1.0
1978-07,0.0
1978-08,2.0
1978-09,2.0
1978-10,4.0
1978-11,2.0
1978-12,3.0
1979-01,3.0
1979-02,0.0
1979-03,0.0
1979-04,2.0
1979-05,7.0
1979-06,8.0
1979-07,2.0
1979-08,4.0
1979-09,1.0
1979-10,1.0
1979-11,2.0
1979-12,4.0
1980-01,0.0
1980-02,1.0
1980-03,1.0
1980-04,1.0
1980-05,3.0
1980-06,0.0
1980-07,0.0
1980-08,0.0
1980-09,0.0
1980-10,1.0
1980-11,0.0
1980-12,1.0
1981-01,1.0
1981-02,0.0
1981-03,0.0
1981-04,0.0
1981-05,0.0
1981-06,0.0
1981-07,1.0
1981-08,2.0
1981-09,0.0
1981-10,2.0
1981-11,0.0
1981-12,0.0
1982-01,0.0
1982-02,1.0
1982-03,0.0
1982-04,1.0
1982-05,0.0
1982-06,1.0
1982-07,0.0
1982-08,2.0
1982-09,0.0
1982-10,0.0
1982-11,1.0
1982-12,2.0
1983-01,0.0
1983-02,1.0
1983-03,0.0
1983-04,0.0
1983-05,0.0
1983-06,1.0
1983-07,2.0
1983-08,1.0
1983-09,0.0
1983-10,1.0
1983-11,3.0
1983-12,6.0
